#Omegam Omegab w0 wa h ns sigma8 aIA etaIA betaIA b1 b2 b3 b4 b5 b6 b7 b8 b9 b10
2.109732754102287814e+07 -1.412416534495001473e+07 2.111302328123503365e+06 5.237782298250613385e+05 4.007206882659859955e+06 4.666595550757851452e+06 2.415581641746886075e+07 1.590598376014743008e+04 2.826562500898063081e+04 1.002322296585424920e+04 -8.548615992966062622e+05 3.838375990375509718e+05 6.003969484554044902e+05 7.147308541154722916e+05 7.418437432363273110e+05 7.536633123972226167e+05 7.226295289135084022e+05 7.832365776059674099e+05 7.266572345582393464e+05 4.304040045933275251e+05
-1.412416534495126642e+07 2.345151428079910576e+07 -6.344106267261555418e+06 -1.322978632380887633e+06 -5.838995819229962304e+06 -6.608192288908727467e+06 -3.622824932290608436e+07 6.236241128487976084e+02 2.427001955053005986e+02 -1.888958575625583990e+03 -2.546794719831863884e+06 -2.187433571555236820e+06 -1.585245675424644956e+06 -1.488993560170765035e+06 -1.366817563599335961e+06 -1.312611914693555096e+06 -1.204345983831177931e+06 -1.206293176887908950e+06 -1.048356362663647044e+06 -5.771573554299246753e+05
2.111302328123567160e+06 -6.344106267261703499e+06 2.987840411929700058e+06 6.186468110319467960e+05 1.656174995832031826e+06 1.695581503136235755e+06 1.422531376081999391e+07 1.333227499938863957e+03 1.814482469503619996e+03 -6.436884230155230853e+02 1.175735257985174889e+06 1.039343742060838034e+06 8.038488826455456438e+05 7.397734912578311050e+05 6.469121364148436114e+05 5.884829667189078173e+05 5.153839298243807280e+05 5.156279687167807715e+05 4.430819202755839215e+05 2.578969219992659055e+05
5.237782298250541207e+05 -1.322978632380887866e+06 6.186468110319478437e+05 1.328239111373939959e+05 3.623883727491697064e+05 3.169626248013234581e+05 2.915836643983382732e+06 4.666706347482689239e+02 6.836122688998141257e+02 -9.541958609240683131e+01 1.594519337007229915e+05 1.779073699870602868e+05 1.544213302139193111e+05 1.497638133376429032e+05 1.380941676391446090e+05 1.314026139465112938e+05 1.211705161232899991e+05 1.261657440033519961e+05 1.123826437368913030e+05 6.892702014646152384e+04
4.007206882661303971e+06 -5.838995819230520166e+06 1.656174995831867913e+06 3.623883727491851314e+05 3.565029344075371046e+06 1.805438322414882248e+06 9.253450525557855144e+06 -2.797552640599474216e+02 -2.012377595404607007e+02 6.022641031726714118e+02 7.680878031293933745e+05 6.012417470031549456e+05 4.287672467605666025e+05 3.804482177243208280e+05 3.375604918519724743e+05 3.120302758662230917e+05 2.794795978584372206e+05 2.865738631205913844e+05 2.498379423220411991e+05 1.348601839224114956e+05
4.666595550757472403e+06 -6.608192288907465525e+06 1.695581503136225278e+06 3.169626248013261938e+05 1.805438322414255003e+06 2.897535190760696772e+06 1.098412310957971029e+07 -9.560686188943886918e+02 -1.004391918136509958e+03 1.224414787103140043e+03 1.526566548232105095e+06 9.202648001272325637e+05 5.567119681934107793e+05 4.226679491759974044e+05 3.077337213263370795e+05 2.336803125894118857e+05 1.728041925311156956e+05 1.445806026599039033e+05 9.548450633210994420e+04 2.681330633694717835e+04
2.415581641746926680e+07 -3.622824932290691137e+07 1.422531376081998646e+07 2.915836643983379006e+06 9.253450525558384135e+06 1.098412310957984813e+07 8.111293257374402881e+07 -2.433149860370168938e+02 8.751591644349398393e+02 3.266638073590864224e+03 6.028577799413811415e+06 5.389548116462449543e+06 4.065822413264956791e+06 3.712436386633560993e+06 3.206222549572756980e+06 2.886593273435533047e+06 2.498764002392725088e+06 2.473721019818217959e+06 2.088975338704541093e+06 1.200486132973328931e+06
1.590598376014741916e+04 6.236241128487976084e+02 1.333227499938863957e+03 4.666706347482688102e+02 -2.797552640599474216e+02 -9.560686188943885782e+02 -2.433149860370162116e+02 3.486354164712541206e+03 5.568062018765393987e+03 5.390827525377615075e+02 1.008244628047615947e+02 -1.943175079592194976e+01 4.825432175276100821e+01 3.055909297850931949e+01 1.725047342504911896e+01 5.808901374546149299e+01 6.240765078816073697e+01 9.100954059489839665e+01 2.983735395585674866e+01 -1.077292750911405932e+02
2.826562500898063081e+04 2.427001955053005986e+02 1.814482469503619996e+03 6.836122688998141257e+02 -2.012377595404607007e+02 -1.004391918136509048e+03 8.751591644349398393e+02 5.568062018765393987e+03 9.084071996055146883e+03 1.368522076954350041e+03 6.262092913740664812e+01 -2.266798407091602030e+01 4.489441836882446069e+01 2.896766564162653879e+01 2.406822738174162879e+01 6.399204100121654903e+01 7.546055402818554114e+01 1.334442997009350051e+02 2.768283752866418013e+01 -1.856597888575795139e+02
1.002322296585424920e+04 -1.888958575625583990e+03 -6.436884230155229716e+02 -9.541958609240685973e+01 6.022641031726714118e+02 1.224414787103140043e+03 3.266638073590862859e+03 5.390827525377616212e+02 1.368522076954350041e+03 1.449946135023358920e+03 -2.686425131637100208e+02 3.155775949506284261e-01 -4.259426561469509664e+01 -4.622062675791016062e+01 -2.132808853843260977e+01 -7.519982533948933678e+01 -7.380574332165605256e+01 -2.733534049648340059e+01 -1.572708973771525010e+01 -5.777042133134820290e+01
