#Omegam Omegab w0 wa h ns sigma8 aIA etaIA betaIA b1 b2 b3 b4 b5
5.678136267307582311e+06 -1.802613567113166209e+06 -4.084365000218860805e+05 -6.688383594868304499e+04 3.124057256139772362e+05 5.015148485062773107e+05 2.685673336319588590e+06 -2.025670496703826075e+03 -2.113578004634843182e+03 2.807086407086877898e+03 -5.731384079975846689e+05 -1.412517999653301958e+05 -5.930933072781055671e+04 -2.347085734847906133e+04 1.405017641660399095e+05
-1.802613567086758558e+06 3.378121138636662625e+06 -1.818374621727265767e+05 -3.841379529197623197e+04 -7.713449203684837557e+05 -4.822377622336468194e+05 -1.548523575317285024e+06 8.138091117048596743e+02 1.039159167206483971e+03 -6.171129767914464992e+02 -7.468228341000390355e+04 -6.873901313608312921e+04 -4.212764627975859912e+04 -3.911826736931226333e+04 -2.697188340385280899e+05
-4.084365000232530874e+05 -1.818374621677579999e+05 2.507647878651222854e+05 4.766107080715410848e+04 5.769930037217846984e+04 -6.140335428091663198e+04 8.339171461132997647e+05 1.044195673439470937e+02 1.320884005201203877e+02 -8.116883126218395716e+01 1.552236599546924990e+05 1.080337646154444956e+05 7.967677754408094916e+04 7.469313188258463924e+04 2.027809345084409870e+05
-6.688383594887895742e+04 -3.841379529105503025e+04 4.766107080714111362e+04 9.427658187411654581e+03 1.364685157732505832e+04 -1.109588196147748204e+04 1.554597844007046951e+05 1.868566239632244930e+01 2.283877011218242004e+01 -1.712225269389290006e+01 2.039960339641814062e+04 1.849489003532736024e+04 1.554235167781020937e+04 1.554694741087721923e+04 4.376129907174633263e+04
3.124057256038071355e+05 -7.713449203437271062e+05 5.769930037276307121e+04 1.364685157748395613e+04 3.980177174041011021e+05 6.300835620217703399e+04 3.106101678652997361e+05 -2.181449619619766906e+02 -2.691334619366597281e+02 1.878384419299202932e+02 1.116196433203886954e+04 8.877152032847461669e+03 4.117623577793531695e+03 2.933117071463722823e+03 5.528700866325430252e+04
5.015148485067872098e+05 -4.822377622455919627e+05 -6.140335428038473037e+04 -1.109588196140498076e+04 6.300835620621262933e+04 1.751683533682058041e+05 -3.140558402562404081e+04 -3.735475026217092136e+02 -4.416524872932305925e+02 3.650820472074830150e+02 -1.898434906708445124e+04 -3.238104934297109139e+04 -3.269892382375132001e+04 -3.495202028391610656e+04 -2.293252546431749943e+04
2.685673336319417693e+06 -1.548523575316238450e+06 8.339171461132970871e+05 1.554597844007064123e+05 3.106101678650904214e+05 -3.140558402568660676e+04 6.843561077764888294e+06 -1.641280826712586077e+03 -1.580257007516381918e+03 2.539267971539480186e+03 5.512352193955664989e+05 4.394210540728610940e+05 3.173623443563543842e+05 3.104658468977666926e+05 9.794976220349116484e+05
-2.025670496703826075e+03 8.138091117048596743e+02 1.044195673439469942e+02 1.868566239632243864e+01 -2.181449619619768043e+02 -3.735475026217090999e+02 -1.641280826712586077e+03 1.582873954786084880e+02 1.875595988608841083e+02 -1.438454635365208105e+02 5.427908443063783039e+01 -2.735930420595212098e+01 -3.665088632296898652e+01 -4.920204905814834717e+01 -2.238224473288407879e+01
-2.113578004634843182e+03 1.039159167206483971e+03 1.320884005201203877e+02 2.283877011218243069e+01 -2.691334619366596144e+02 -4.416524872932304220e+02 -1.580257007516381918e+03 1.875595988608841083e+02 2.336922612909837085e+02 -1.442311139932303092e+02 6.492704235661835810e+01 -8.337768353839864588e+00 -3.233690099565953346e+01 -4.378085030215542162e+01 -2.109208102034055088e+01
2.807086407086877898e+03 -6.171129767914464992e+02 -8.116883126218395716e+01 -1.712225269389292137e+01 1.878384419299202932e+02 3.650820472074830150e+02 2.539267971539480186e+03 -1.438454635365208105e+02 -1.442311139932303092e+02 1.936816146987110869e+02 -5.679925577673415660e+01 9.597325095095706615e+01 6.722593178483052156e+01 6.717055407543681156e+01 2.870128661904232104e+01
